;index_x;LLM_score;date;company;index_y;title;symbols;sentiment;ticker
30131;9052;0;2023-04-13T13:28:40+00:00;Alphabet Inc;2931;Google Prepares To Seek Respite From US Antitrust Lawsuit For Alleged Search Engine Dominance;['AAPL.US', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSFT.US', 'MSI.US', 'VZ.US'];{'polarity': 0.819, 'neg': 0.086, 'neu': 0.797, 'pos': 0.117};GOOG
30132;9052;0;2023-04-13T13:28:40+00:00;Alphabet Inc;3963;Google Prepares To Seek Respite From US Antitrust Lawsuit For Alleged Search Engine Dominance;['AAPL.US', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSFT.US', 'MSI.US', 'VZ.US'];{'polarity': 0.819, 'neg': 0.086, 'neu': 0.797, 'pos': 0.117};GOOGL
30209;9130;-1;2023-04-13T14:32:06+00:00;Alphabet Inc;2930;Is Google Sharing International Users' Data With US Intelligence? South Korea's Top Court Wants Company To Disclose;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.994, 'neg': 0.03, 'neu': 0.78, 'pos': 0.191};GOOG
30210;9130;-1;2023-04-13T14:32:06+00:00;Alphabet Inc;3962;Is Google Sharing International Users' Data With US Intelligence? South Korea's Top Court Wants Company To Disclose;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.994, 'neg': 0.03, 'neu': 0.78, 'pos': 0.191};GOOGL
30220;9141;-1;2023-04-13T14:47:33+00:00;Alphabet Inc;2929;UPDATE 2-Google faces judge's questions as it asks court to toss U.S. antitrust lawsuit;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.96, 'neg': 0.099, 'neu': 0.777, 'pos': 0.123};GOOG
30221;9141;-1;2023-04-13T14:47:33+00:00;Alphabet Inc;3961;UPDATE 2-Google faces judge's questions as it asks court to toss U.S. antitrust lawsuit;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.96, 'neg': 0.099, 'neu': 0.777, 'pos': 0.123};GOOGL
30228;9149;0;2023-04-13T14:54:46+00:00;Alphabet Inc;2928;FTX's Native Token Might Be Relaunched, Putin Personally Approved Arrest Of American Journalist Evan Gershkovich, Fox News-Dominion Voting Systems Trial To Start Monday: Today's Top Stories;['AAPL.US', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'CVX.US', 'DWAC.US', 'FOX.US', 'FOXA.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'IBM.US', 'MSI.US', 'NVAX.US'];{'polarity': 0.989, 'neg': 0.065, 'neu': 0.841, 'pos': 0.094};GOOG
30229;9149;0;2023-04-13T14:54:46+00:00;Alphabet Inc;3959;FTX's Native Token Might Be Relaunched, Putin Personally Approved Arrest Of American Journalist Evan Gershkovich, Fox News-Dominion Voting Systems Trial To Start Monday: Today's Top Stories;['AAPL.US', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'CVX.US', 'DWAC.US', 'FOX.US', 'FOXA.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'IBM.US', 'MSI.US', 'NVAX.US'];{'polarity': 0.989, 'neg': 0.065, 'neu': 0.841, 'pos': 0.094};GOOGL
30262;9183;0;2023-04-13T15:32:00+00:00;Alphabet Inc;2927;Google Asks Judge to End DOJ Antitrust Case;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.402, 'neg': 0.074, 'neu': 0.821, 'pos': 0.105};GOOG
30263;9183;0;2023-04-13T15:32:00+00:00;Alphabet Inc;3958;Google Asks Judge to End DOJ Antitrust Case;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.402, 'neg': 0.074, 'neu': 0.821, 'pos': 0.105};GOOGL
30285;9206;1;2023-04-13T16:01:00+00:00;Alphabet Inc;2926;A.I.-powered chatbot Perplexity, backed by big names from Google and Meta, launches new features as search battle heats up;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.995, 'neg': 0.004, 'neu': 0.903, 'pos': 0.092};GOOG
30286;9206;1;2023-04-13T16:01:00+00:00;Alphabet Inc;3957;A.I.-powered chatbot Perplexity, backed by big names from Google and Meta, launches new features as search battle heats up;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.995, 'neg': 0.004, 'neu': 0.903, 'pos': 0.092};GOOGL
30287;9208;0;2023-04-13T16:02:04+00:00;Alphabet Inc;2925;Amazon Makes Its Swan Dive Into ChatGPT Artificial Intelligence Pool;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.586, 'neg': 0, 'neu': 0.814, 'pos': 0.186};GOOG
30288;9208;0;2023-04-13T16:02:04+00:00;Alphabet Inc;3956;Amazon Makes Its Swan Dive Into ChatGPT Artificial Intelligence Pool;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.586, 'neg': 0, 'neu': 0.814, 'pos': 0.186};GOOGL
30296;9217;1;2023-04-13T16:07:20+00:00;Alphabet Inc;2924;Why Alphabet Stock Was Up Today;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.44, 'neg': 0.03, 'neu': 0.895, 'pos': 0.075};GOOG
30297;9217;1;2023-04-13T16:07:20+00:00;Alphabet Inc;3955;Why Alphabet Stock Was Up Today;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.44, 'neg': 0.03, 'neu': 0.895, 'pos': 0.075};GOOGL
30324;9245;0;2023-04-13T16:48:41+00:00;Alphabet Inc;2923;Can ChatGPT help you trade stocks?;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AI.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.852, 'neg': 0.021, 'neu': 0.891, 'pos': 0.088};GOOG
30325;9245;0;2023-04-13T16:48:41+00:00;Alphabet Inc;3953;Can ChatGPT help you trade stocks?;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AI.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.852, 'neg': 0.021, 'neu': 0.891, 'pos': 0.088};GOOGL
30346;9267;-1;2023-04-13T17:45:19+00:00;Alphabet Inc;2922;Google’s Monopoly Delayed Innovations Like ChatGPT, DOJ Says;['AAPL.MX', 'AAPL.US', 'AAPL34.SA', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'APC.F', 'APC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.974, 'neg': 0.06, 'neu': 0.847, 'pos': 0.093};GOOG
30347;9267;-1;2023-04-13T17:45:19+00:00;Alphabet Inc;3952;Google’s Monopoly Delayed Innovations Like ChatGPT, DOJ Says;['AAPL.MX', 'AAPL.US', 'AAPL34.SA', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'APC.F', 'APC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.974, 'neg': 0.06, 'neu': 0.847, 'pos': 0.093};GOOGL
30362;9283;0;2023-04-13T18:53:00+00:00;Alphabet Inc;2921;This Manager Sees a Margin of Safety in Stocks Such as KKR and Exor;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'GSPC.INDX'];{'polarity': 0.612, 'neg': 0, 'neu': 0.773, 'pos': 0.227};GOOG
30363;9283;0;2023-04-13T18:53:00+00:00;Alphabet Inc;3951;This Manager Sees a Margin of Safety in Stocks Such as KKR and Exor;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'GSPC.INDX'];{'polarity': 0.612, 'neg': 0, 'neu': 0.773, 'pos': 0.227};GOOGL
30369;9290;0;2023-04-13T19:00:07+00:00;Alphabet Inc;2920;PATENT DROP: Microsoft goes sleuthing;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.709, 'neg': 0.078, 'neu': 0.664, 'pos': 0.258};GOOG
30370;9290;0;2023-04-13T19:00:07+00:00;Alphabet Inc;3950;PATENT DROP: Microsoft goes sleuthing;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.709, 'neg': 0.078, 'neu': 0.664, 'pos': 0.258};GOOGL
30372;9293;0;2023-04-13T19:02:59+00:00;Alphabet Inc;2919;Amazon is taking on Google and Microsoft with its own generative A.I. as CEO Andy Jassy says it will be a ‘big deal’ for the company;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.997, 'neg': 0.008, 'neu': 0.901, 'pos': 0.091};GOOG
30373;9293;0;2023-04-13T19:02:59+00:00;Alphabet Inc;3949;Amazon is taking on Google and Microsoft with its own generative A.I. as CEO Andy Jassy says it will be a ‘big deal’ for the company;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.997, 'neg': 0.008, 'neu': 0.901, 'pos': 0.091};GOOGL
30494;9415;0;2023-04-13T20:37:15+00:00;Alphabet Inc;2918;Google and Microsoft’s AI services ‘give very different answers’ on investing: Analyst;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.477, 'neg': 0, 'neu': 0.912, 'pos': 0.088};GOOG
30495;9415;0;2023-04-13T20:37:15+00:00;Alphabet Inc;3948;Google and Microsoft’s AI services ‘give very different answers’ on investing: Analyst;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MI', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.477, 'neg': 0, 'neu': 0.912, 'pos': 0.088};GOOGL
30529;9450;0;2023-04-13T21:49:33+00:00;Alphabet Inc;2917;Amazon Bedrock AI Drops a Bombshell in the Artificial Intelligence Arms Race;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.178, 'neg': 0, 'neu': 0.904, 'pos': 0.096};GOOG
30530;9450;0;2023-04-13T21:49:33+00:00;Alphabet Inc;3947;Amazon Bedrock AI Drops a Bombshell in the Artificial Intelligence Arms Race;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.178, 'neg': 0, 'neu': 0.904, 'pos': 0.096};GOOGL
30560;9481;-1;2023-04-13T23:38:34+00:00;Alphabet Inc;2916;Google must face trial over Sonos patents, California judge says;['8SO.F', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'SONO.US'];{'polarity': -0.825, 'neg': 0.117, 'neu': 0.796, 'pos': 0.087};GOOG
30561;9481;-1;2023-04-13T23:38:34+00:00;Alphabet Inc;3946;Google must face trial over Sonos patents, California judge says;['8SO.F', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'SONO.US'];{'polarity': -0.825, 'neg': 0.117, 'neu': 0.796, 'pos': 0.087};GOOGL
30587;9508;0;2023-04-14T08:52:00+00:00;Alphabet Inc;2915;Amazon’s Bedrock has entered the generative AI chat;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.998, 'neg': 0.016, 'neu': 0.876, 'pos': 0.108};GOOG
30588;9508;0;2023-04-14T08:52:00+00:00;Alphabet Inc;3945;Amazon’s Bedrock has entered the generative AI chat;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.998, 'neg': 0.016, 'neu': 0.876, 'pos': 0.108};GOOGL
30599;9520;0;2023-04-14T09:10:00+00:00;Alphabet Inc;2914;3 Top Growth Stocks That Are Screaming Buys Right Now;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'ASME.F', 'ASME.XETRA', 'ASML.AS', 'ASML.US', 'ASMLF.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MELI.US'];{'polarity': 0.382, 'neg': 0, 'neu': 0.88, 'pos': 0.12};GOOG
30600;9520;0;2023-04-14T09:10:00+00:00;Alphabet Inc;3944;3 Top Growth Stocks That Are Screaming Buys Right Now;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'ASME.F', 'ASME.XETRA', 'ASML.AS', 'ASML.US', 'ASMLF.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MELI.US'];{'polarity': 0.382, 'neg': 0, 'neu': 0.88, 'pos': 0.12};GOOGL
30605;9526;0;2023-04-14T09:19:00+00:00;Alphabet Inc;2913;If You Invested $1,000 in The Trade Desk in 2018, This Is How Much You Would Have Today;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'TT8.F', 'TT8.STU', 'TTD.US'];{'polarity': 0.866, 'neg': 0, 'neu': 0.703, 'pos': 0.297};GOOG
30606;9526;0;2023-04-14T09:19:00+00:00;Alphabet Inc;3943;If You Invested $1,000 in The Trade Desk in 2018, This Is How Much You Would Have Today;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'TT8.F', 'TT8.STU', 'TTD.US'];{'polarity': 0.866, 'neg': 0, 'neu': 0.703, 'pos': 0.297};GOOGL
30613;9534;0;2023-04-14T09:50:00+00:00;Alphabet Inc;2912;Better AI Stock: Amazon or Nvidia?;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.749, 'neg': 0.029, 'neu': 0.783, 'pos': 0.189};GOOG
30614;9534;0;2023-04-14T09:50:00+00:00;Alphabet Inc;3942;Better AI Stock: Amazon or Nvidia?;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'MSF.F', 'MSF.XETRA', 'MSFT.MX', 'MSFT.US', 'MSFT34.SA'];{'polarity': 0.749, 'neg': 0.029, 'neu': 0.783, 'pos': 0.189};GOOGL
30617;9538;-1;2023-04-14T10:00:00+00:00;AGNC Investment Corp;62693;2 High-Yield Dividend Stocks to Avoid Like the Plague;['4OQ1.F', 'A6W.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'ARE.US', 'BO9.F', 'BXP.US'];{'polarity': 0.827, 'neg': 0.057, 'neu': 0.769, 'pos': 0.174};AGNCN
30618;9538;-1;2023-04-14T10:00:00+00:00;AGNC Investment Corp;64305;2 High-Yield Dividend Stocks to Avoid Like the Plague;['4OQ1.F', 'A6W.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'ARE.US', 'BO9.F', 'BXP.US'];{'polarity': 0.827, 'neg': 0.057, 'neu': 0.769, 'pos': 0.174};AGNCM
30619;9538;-1;2023-04-14T10:00:00+00:00;AGNC Investment Corp;85294;2 High-Yield Dividend Stocks to Avoid Like the Plague;['4OQ1.F', 'A6W.F', 'AGNC.US', 'AGNCM.US', 'AGNCN.US', 'ARE.US', 'BO9.F', 'BXP.US'];{'polarity': 0.827, 'neg': 0.057, 'neu': 0.769, 'pos': 0.174};AGNC
30661;9582;0;2023-04-14T11:00:00+00:00;Alphabet Inc;2911;5 Burning Questions for Alphabet;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};GOOG
30662;9582;0;2023-04-14T11:00:00+00:00;Alphabet Inc;3941;5 Burning Questions for Alphabet;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};GOOGL
30694;9615;0;2023-04-14T11:39:00+00:00;Alphabet Inc;2910;2 Tech Stocks You Can Buy and Hold for the Next Decade;['2330.TW', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'TSFA.F', 'TSFA.STU', 'TSM.US', 'TSMC34.SA', 'TSMN.MX'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};GOOG
30695;9615;0;2023-04-14T11:39:00+00:00;Alphabet Inc;3940;2 Tech Stocks You Can Buy and Hold for the Next Decade;['2330.TW', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'TSFA.F', 'TSFA.STU', 'TSM.US', 'TSMC34.SA', 'TSMN.MX'];{'polarity': 0, 'neg': 0, 'neu': 1, 'pos': 0};GOOGL
30698;9619;0;2023-04-14T11:56:00+00:00;Alphabet Inc;2909;2 Growth Stocks to Buy and Hold Forever;['45C.F', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'CRWD.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'IXIC.INDX'];{'polarity': 0.052, 'neg': 0.167, 'neu': 0.62, 'pos': 0.213};GOOG
30699;9619;0;2023-04-14T11:56:00+00:00;Alphabet Inc;3939;2 Growth Stocks to Buy and Hold Forever;['45C.F', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'CRWD.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'IXIC.INDX'];{'polarity': 0.052, 'neg': 0.167, 'neu': 0.62, 'pos': 0.213};GOOGL
30810;9731;0;2023-04-14T13:40:01+00:00;Rush Enterprises Inc;97618;Should Value Investors Buy Asbury Automotive Group (ABG) Stock?;['ABG.US', 'AWG.F', 'RUNA.F', 'RUSHA.US', 'RUSHB.US'];{'polarity': 0.998, 'neg': 0.023, 'neu': 0.825, 'pos': 0.152};RUSHB
30811;9731;0;2023-04-14T13:40:01+00:00;Rush Enterprises Inc;98646;Should Value Investors Buy Asbury Automotive Group (ABG) Stock?;['ABG.US', 'AWG.F', 'RUNA.F', 'RUSHA.US', 'RUSHB.US'];{'polarity': 0.998, 'neg': 0.023, 'neu': 0.825, 'pos': 0.152};RUSHA
30869;9790;0;2023-04-14T15:10:03+00:00;Alphabet Inc;2908;"AMZN Ups Generative AI Game: Should MSFT, GOOGL &amp; Others Worry";['9988.HK', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AHLA.F', 'AHLA.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'BABA.US', 'BABA34.SA', 'BABAF.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.998, 'neg': 0.022, 'neu': 0.85, 'pos': 0.128};GOOG
30870;9790;0;2023-04-14T15:10:03+00:00;Alphabet Inc;3937;"AMZN Ups Generative AI Game: Should MSFT, GOOGL &amp; Others Worry";['9988.HK', 'ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'AHLA.F', 'AHLA.XETRA', 'AMZ.F', 'AMZ.XETRA', 'AMZN.MX', 'AMZN.US', 'AMZO34.SA', 'BABA.US', 'BABA34.SA', 'BABAF.US', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.998, 'neg': 0.022, 'neu': 0.85, 'pos': 0.128};GOOGL
30878;9799;1;2023-04-14T15:16:32+00:00;Alphabet Inc;2907;Why Sinclair Broadcast Group Stock Jumped 10.9% This Week;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'SBGI.US', 'SBTA.F'];{'polarity': 0.743, 'neg': 0.029, 'neu': 0.862, 'pos': 0.109};GOOG
30879;9799;1;2023-04-14T15:16:32+00:00;Alphabet Inc;3936;Why Sinclair Broadcast Group Stock Jumped 10.9% This Week;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US', 'SBGI.US', 'SBTA.F'];{'polarity': 0.743, 'neg': 0.029, 'neu': 0.862, 'pos': 0.109};GOOGL
30926;9847;-1;2023-04-14T16:40:41+00:00;Alphabet Inc;2906;Generative AI Is Heading Down A Dangerous Legal Path;['ABEA.F', 'ABEA.XETRA', 'ABEC.F', 'ABEC.XETRA', 'GOGL34.SA', 'GOGL35.SA', 'GOOG.MX', 'GOOG.US', 'GOOGL.US'];{'polarity': 0.99, 'neg': 0.05, 'neu': 0.833, 'pos': 0.117};GOOG
